gene	Expression	Type	Domain
ENSG000002670571	-1.41199994472909	ESCC_Tumor	EAC_specificPMDs
ENSG000002259111	-3.01809097852299	ESCC_Tumor	EAC_specificPMDs
ENSG000001167451	-1.57962042674969	ESCC_Tumor	EAC_specificPMDs
ENSG000002671621	-2.86849333571882	ESCC_Tumor	EAC_specificPMDs
ENSG000002537331	-2.82428603735938	ESCC_Tumor	EAC_specificPMDs
ENSG000002189801	-0.257298352168512	ESCC_Tumor	EAC_specificPMDs
ENSG000002538591	-1.88848082387053	ESCC_Tumor	EAC_specificPMDs
ENSG000002644221	-3.23703231872602	ESCC_Tumor	EAC_specificPMDs
ENSG000002077461	-2.53159572309966	ESCC_Tumor	EAC_specificPMDs
ENSG000002553091	-3.22109122996359	ESCC_Tumor	EAC_specificPMDs
ENSG000002731151	-2.99170456692698	ESCC_Tumor	EAC_specificPMDs
ENSG000001973761	-3.05313867502569	ESCC_Tumor	EAC_specificPMDs
ENSG000002666451	-2.9729597316744	ESCC_Tumor	EAC_specificPMDs
ENSG000002595911	-2.84178987348174	ESCC_Tumor	EAC_specificPMDs
ENSG000002524311	-2.79735313025375	ESCC_Tumor	EAC_specificPMDs
ENSG000002513331	-0.541031604799412	ESCC_Tumor	EAC_specificPMDs
ENSG000002530101	-3.22782531254717	ESCC_Tumor	EAC_specificPMDs
ENSG000001721791	-3.1426370756158	ESCC_Tumor	EAC_specificPMDs
ENSG000001058801	2.59568606908106	ESCC_Tumor	EAC_specificPMDs
ENSG000001891821	-1.98321823520575	ESCC_Tumor	EAC_specificPMDs
ENSG000002549351	-3.01472719443902	ESCC_Tumor	EAC_specificPMDs
ENSG000002421091	-3.32192809488736	ESCC_Tumor	EAC_specificPMDs
ENSG000002412281	-2.70774911094181	ESCC_Tumor	EAC_specificPMDs
ENSG000002482681	0.467485928547276	ESCC_Tumor	EAC_specificPMDs
ENSG000002411111	-3.11267988063191	ESCC_Tumor	EAC_specificPMDs
ENSG000002349401	-3.27225988917809	ESCC_Tumor	EAC_specificPMDs
ENSG000002137301	-1.17823672289356	ESCC_Tumor	EAC_specificPMDs
ENSG000001864421	-1.33919739262201	ESCC_Tumor	EAC_specificPMDs
ENSG000002525551	-3.12452684751566	ESCC_Tumor	EAC_specificPMDs
ENSG000001159631	4.31554194033556	ESCC_Tumor	EAC_specificPMDs
ENSG000002277431	-2.96209510716852	ESCC_Tumor	EAC_specificPMDs
ENSG000002571991	-1.82718102313546	ESCC_Tumor	EAC_specificPMDs
ENSG000001723221	-0.679141267639028	ESCC_Tumor	EAC_specificPMDs
